Supplemental Raw Phyla Level table																																												
Species	Unclassified;Other	k__Archaea;p__Crenarchaeota	k__Archaea;p__Euryarchaeota	k__Bacteria;Other	k__Bacteria;p__	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Armatimonadetes	k__Bacteria;p__BRC1	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Chlamydiae	k__Bacteria;p__Chlorobi	k__Bacteria;p__Chloroflexi	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Elusimicrobia	k__Bacteria;p__Fibrobacteres	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__GN02	k__Bacteria;p__Gemmatimonadetes	k__Bacteria;p__Lentisphaerae	k__Bacteria;p__MVP-21	k__Bacteria;p__NKB19	k__Bacteria;p__Nitrospirae	k__Bacteria;p__OD1	k__Bacteria;p__Planctomycetes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__SR1	k__Bacteria;p__Spirochaetes	k__Bacteria;p__Synergistetes	k__Bacteria;p__TM6	k__Bacteria;p__TM7	k__Bacteria;p__Tenericutes	k__Bacteria;p__Thermi	k__Bacteria;p__Verrucomicrobia	k__Bacteria;p__WYO								
Human10	0	0	0	13	0	0	556	0	0	2	0	0	0	0	0	0	423	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0								
Human11	0	0	0	3	0	0	388	0	0	3	0	0	0	17	1	0	573	0	0	0	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0								
Human12	0	0	0	0	0	0	85	0	0	0	0	0	0	1	0	0	412	0	0	0	0	0	0	0	0	0	501	0	0	0	0	0	0	1	0	0								
Human13	0	0	0	1	0	0	25	0	0	0	0	0	0	93	0	0	867	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0								
Human14	3	0	0	0	0	0	443	0	0	1	0	0	0	0	0	0	516	0	0	0	0	0	0	0	0	0	36	0	0	0	1	0	0	0	0	0								
Human15	1	0	0	3	0	0	456	0	0	1	0	0	0	5	0	0	499	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	1	0	0								
Human16	0	0	0	3	0	1	795	0	0	24	0	0	1	6	0	0	138	4	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0								
Human17	0	0	0	3	0	0	152	1	0	21	0	0	0	6	0	0	723	2	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0								
Human18	0	0	0	6	0	0	272	0	0	0	0	0	0	1	0	0	720	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0								
Human19	0	0	0	3	0	0	676	0	0	0	0	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0								
Human20	0	0	0	1	0	0	314	0	0	0	0	0	0	1	0	0	683	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0								
Human21	0	0	0	9	0	0	718	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0								
Human22	0	0	0	2	0	0	127	0	0	0	0	0	0	0	0	0	464	0	0	0	0	0	0	0	0	0	407	0	0	0	0	0	0	0	0	0								
Human23	0	0	0	0	0	0	9	0	0	5	0	0	0	1	0	0	960	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0								
Human24	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	881	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0								
Human25	0	0	0	1	0	0	10	0	0	4	0	0	0	2	0	0	977	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0								
Human26	0	0	0	2	0	1	278	0	0	8	0	0	2	8	0	0	664	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	2	1	0								
Human27	0	0	0	2	0	0	40	0	0	2	0	0	0	0	0	0	949	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0								
Human28	0	0	0	0	0	0	27	0	0	57	0	0	1	41	0	0	685	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0								
Human29	0	0	0	1	0	0	209	0	0	0	0	0	0	0	0	0	789	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0								
Human30	0	0	0	2	0	0	33	0	0	0	0	0	0	0	0	0	883	0	0	0	0	0	0	0	0	1	81	0	0	0	0	0	0	0	0	0								
Human31	0	0	0	6	0	0	514	0	0	1	0	0	0	0	0	0	469	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0								
Human32	0	0	0	8	0	0	810	1	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0								
Human33	0	0	0	9	0	5	79	14	0	216	0	0	1	8	14	0	387	36	0	0	0	0	0	0	0	0	227	0	3	1	0	0	0	0	0	0								
Human34	1	0	0	5	0	4	82	9	0	256	0	0	0	2	4	0	378	74	0	0	0	0	0	0	0	0	181	0	3	1	0	0	0	0	0	0								
Human35	0	0	0	5	0	4	83	12	0	231	0	0	0	5	12	0	441	37	0	0	0	0	0	0	0	1	165	0	2	2	0	0	0	0	0	0								
Human36	0	0	0	2	0	0	386	1	0	4	0	0	0	0	0	0	605	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0								
Human37	0	0	0	9	0	6	115	20	0	236	0	0	0	5	19	0	294	20	0	1	0	0	0	0	0	0	273	0	2	0	0	0	0	0	0	0								
Human38	0	0	0	8	0	0	655	1	0	13	0	0	0	0	1	0	297	3	0	0	0	0	0	0	0	1	19	0	2	0	0	0	0	0	0	0								
RhesusMacaque1	0	0	0	51	0	2	59	1	0	284	0	0	1	7	1	0	513	0	0	0	0	0	0	0	0	2	69	0	2	2	0	0	2	3	1	0								
RhesusMacaque2	13	0	1	36	0	8	113	1	0	251	0	0	9	54	0	0	389	10	0	3	0	0	0	1	0	1	101	0	3	0	0	0	0	3	3	0								
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
