ID	Species	DistributionName	Parameter1Name	Parameter1Value	Parameter2Name	Parameter2Value	Parameter3Name	Parameter3Value	Loglikelihood	AIC	Loglikelihood_Empirical	AIC_Empirical	MaxNestSize
1043	Redearedslider7	Neyman	Lambda	1252.200	Phi	0.011			-31.675	63.350	-18.887	77.773	21
1044	Redearedslider8	Neyman	Lambda	146.060	Phi	0.093			-62.290	124.580	-43.313	130.626	23
1045	Redearedslider9	Neyman	Lambda	585.260	Phi	0.023			-54.307	108.614	-40.833	125.667	23
1046	Redearedslider10	Neyman	Lambda	1211.800	Phi	0.011			-29.616	59.232	-20.900	81.799	21
1047	Redearedslider11	Neyman	Lambda	1155.400	Phi	0.011			-25.737	51.474	-12.534	63.068	20
1048	Redearedslider12	Neyman	Lambda	1095.500	Phi	0.011			-27.242	54.484	-17.115	76.229	22
1049	Redearedslider13	Neyman	Lambda	769.810	Phi	0.018			-28.780	57.560	-20.777	83.554	22
1050	Redearedslider14	Neyman	Lambda	1234.000	Phi	0.010			-27.577	55.154	-16.004	70.009	20
1051	Redearedslider15	Neyman	Lambda	1430.400	Phi	0.010			-36.313	72.626	-20.749	83.497	22
1052	Redearedslider16	Neyman	Lambda	1118.000	Phi	0.012			-35.435	70.870	-22.599	89.198	23
1053	Redearedslider17	Neyman	Lambda	1395.000	Phi	0.009			-47.653	95.306	-27.180	90.360	19
1054	Redearedslider18	Neyman	Lambda	1239.600	Phi	0.010			-44.057	88.114	-24.185	88.369	21
1055	Redearedslider19	Neyman	Lambda	167.990	Phi	0.081			-31.952	63.904	-22.645	87.290	22
1056	Redearedslider20	Neyman	Lambda	1581.700	Phi	0.008			-25.233	50.466	-16.197	66.394	18
1057	Redearedslider21	Neyman	Lambda	1235.100	Phi	0.010			-29.320	58.640	-18.597	71.195	18
1058	Redearedslider22	Neyman	Lambda	701.900	Phi	0.019			-35.252	70.504	-24.406	92.812	23
1059	Walllizard1	Neyman	Lambda	16.812	Phi	0.559			-26.077	52.154	-17.412	66.824	17
1060	IguanidLizard	Neyman	Lambda	1284.800	Phi	0.002			-17.612	35.224	-3.069	12.138	4
1061	Sixlinedracerunner1	Neyman	Lambda	9.800	Phi	0.601			-26.644	53.288	-13.541	51.081	13
1062	Sixlinedracerunner2	Neyman	Lambda	822.470	Phi	0.004			-18.137	36.274	-8.052	26.104	6
1063	Sixlinedracerunner3	Neyman	Lambda	1274.700	Phi	0.002			-11.630	23.260	-3.982	13.964	4
1064	Sixlinedracerunner4	Neyman	Lambda	1571.900	Phi	0.002			-28.687	57.374	-7.059	22.119	5
1065	Sixlinedracerunner5	Neyman	Lambda	1390.900	Phi	0.003			-16.102	32.204	-4.953	19.905	6
1066	SnowshoeHare	Neyman	Lambda	1351.600	Phi	0.002			-15.428	30.856	-4.989	15.979	4
1067	Mearnscottontailrabbit	Neyman	Lambda	1217.300	Phi	0.005			-15.693	31.386	-7.859	31.719	9
1068	MaskedShrew	Neyman	Lambda	845.430	Phi	0.009			-19.920	39.840	-10.049	42.099	12
1069	Deermouse1	Neyman	Lambda	1672.000	Phi	0.003			-59.008	118.016	-7.829	27.659	7
1070	AfricanLion	Neyman	Lambda	1144.300	Phi	0.002			-55.361	110.722	-7.941	21.882	4
1071	CollaredPeccary	Neyman	Lambda	1159.200	Phi	0.001			-13.153	26.306	-3.159	10.318	3
1072	Whitefootedmouse	Neyman	Lambda	1523.600	Phi	0.003			-41.334	82.668	-12.058	36.115	7
1073	Wildmuskrat	Neyman	Lambda	1138.300	Phi	0.006			-39.584	79.168	-14.285	50.569	12
1074	Molerat	Neyman	Lambda	1359.900	Phi	0.001			-38.293	76.586	-4.980	15.960	4
1075	Prairievoles	Neyman	Lambda	1293.900	Phi	0.003			-41.681	83.362	-10.345	32.689	7
1076	Housemouse	Neyman	Lambda	511.420	Phi	0.011			-26.179	52.358	-14.346	50.692	12
1077	Woodlandmouse	Neyman	Lambda	1115.500	Phi	0.004			-15.216	30.432	-5.988	23.976	7
1078	Westernharvestmouse	Neyman	Lambda	1284.100	Phi	0.003			-16.590	33.180	-5.871	21.742	6
1079	Deermouse2	Neyman	Lambda	2015.500	Phi	0.002			-25.421	50.842	-4.069	18.137	6
1080	Deermouse3	Neyman	Lambda	1314.900	Phi	0.004			-13.076	26.152	-6.439	24.878	7
1081	Deermouse4	Neyman	Lambda	1348.400	Phi	0.004			-17.530	35.060	-9.160	34.321	9
1082	BrownBandicoot	Neyman	Lambda	1066.800	Phi	0.003			-17.428	34.856	-8.299	26.598	6
1083	YellowMudTurtle1	Neyman	Lambda	1673.000	Phi	0.004			-95.244	190.488	-11.301	38.602	9
1084	YellowMudTurtle2	Neyman	Lambda	1410.500	Phi	0.004			-25.027	50.054	-7.239	30.478	9
1085	YellowMudTurtle3	Neyman	Lambda	1612.800	Phi	0.004			-117.560	235.120	-14.669	45.337	9
1086	YellowMudTurtle4	Neyman	Lambda	1669.400	Phi	0.003			-117.390	234.780	-11.495	36.990	8
1087	EasternPaintedTurtle1	Neyman	Lambda	1766.100	Phi	0.008			-18.166	36.332	-11.754	61.507	20
1088	EasternPaintedTurtle2	Neyman	Lambda	2215.300	Phi	0.006			-22.888	45.776	-6.933	41.866	15
1089	Eastern_Painted_Turtle3	Neyman	Lambda	1309.600	Phi	0.006			-16.501	33.002	-10.133	46.267	14
1090	Lesser_Scaup	Neyman	Lambda	1921.900	Phi	0.005			-34.142	68.284	-10.848	47.696	14
1091	Mute_Swan	Neyman	Lambda	711.570	Phi	0.007			-16.555	33.110	-9.393	36.786	10
1092	GoldenEagle9	Neyman	Lambda	1225.600	Phi	0.001			-11.018	22.036	-2.915	9.830	3
1093	AmericanAvocet1	PoissonBinomial	Phi	1.241	N	2.826			-79.530	159.060	-3.633	13.266	4
1094	AmericanAvocet2	PoissonBinomial	Phi	0.981	N	3.697			-118.300	236.600	-3.782	15.564	5
1095	BankSwallow1	PoissonBinomial	Phi	1.000	N	4.831			-108.260	216.520	-8.913	29.825	7
1096	Cacklinggoose1	PoissonBinomial	Phi	0.860	N	5.030			-50.638	101.276	-16.438	48.877	9
1097	Cacklinggoose2	PoissonBinomial	Phi	0.795	N	4.687			-56.776	113.552	-15.691	45.383	8
1098	Cacklinggoose3	PoissonBinomial	Phi	1.014	N	3.600			-51.565	103.130	-13.759	39.517	7
1099	Cacklinggoose4	PoissonBinomial	Phi	1.198	N	3.905			-61.595	123.190	-12.899	37.798	7
1100	Blackbrant1	PoissonBinomial	Phi	0.759	N	3.677			-17.528	35.056	-7.072	24.144	6
1101	Blackbrant2	PoissonBinomial	Phi	0.878	N	3.507			-16.686	33.372	-8.985	29.970	7
1102	Blackbrant3	PoissonBinomial	Phi	0.713	N	3.698			-16.670	33.340	-7.709	25.419	6
1103	Blackbrant4	PoissonBinomial	Phi	1.034	N	3.714			-17.456	34.912	-6.680	23.361	6
1104	Emperorgoose1	PoissonBinomial	Phi	0.980	N	4.766			-12.281	24.562	-5.613	23.226	7
1105	Emperorgoose2	PoissonBinomial	Phi	0.828	N	4.500			-12.072	24.144	-6.091	24.182	7
1106	Emperorgoose3	PoissonBinomial	Phi	1.148	N	3.578			-14.599	29.198	-5.327	20.654	6
1107	Whitefrontedgoose1	PoissonBinomial	Phi	0.908	N	4.765			-14.101	28.202	-6.894	25.789	7
1108	Whitefrontedgoose2	PoissonBinomial	Phi	1.059	N	6.500			-17.728	35.456	-6.554	27.108	8
1109	SpectacledEider1	PoissonBinomial	Phi	0.980	N	3.675			-17.066	34.132	-6.714	23.429	6
1110	SpectacledEider2	PoissonBinomial	Phi	1.164	N	3.669			-32.342	64.684	-9.588	33.176	8
1111	SpectacledEider3	PoissonBinomial	Phi	1.094	N	3.606			-19.948	39.896	-7.351	26.701	7
1112	SpectacledEider4	PoissonBinomial	Phi	1.167	N	4.249			-19.432	38.864	-8.426	28.851	7
1113	CaspianTern5	PoissonBinomial	Phi	1.180	N	1.504			-128.420	256.840	-5.329	14.659	3
1114	CaspianTern6	PoissonBinomial	Phi	1.108	N	1.505			-22.016	44.032	-3.520	11.039	3
1115	CaspianTern7	PoissonBinomial	Phi	1.188	N	1.509			-99.319	198.638	-5.034	14.068	3
1116	CaspianTern8	PoissonBinomial	Phi	1.090	N	1.508			-46.713	93.426	-4.285	12.571	3
1117	CaspianTern9	PoissonBinomial	Phi	0.868	N	1.506			-190.260	380.520	-4.883	13.766	3
1118	CaspianTern10	PoissonBinomial	Phi	0.978	N	1.541			-430.280	860.560	-6.022	16.044	3
1119	CaspianTern11	PoissonBinomial	Phi	0.983	N	1.504			-344.160	688.320	-5.900	15.801	3
1120	CaspianTern12	PoissonBinomial	Phi	0.968	N	1.519			-172.940	345.880	-6.128	16.256	3
1121	CaspianTern13	PoissonBinomial	Phi	1.000	N	1.524			-32.671	65.342	0.000	2.000	2
1122	CaspianTern14	PoissonBinomial	Phi	0.982	N	1.504			-57.054	114.108	-4.979	13.959	3
1123	CaspianTern15	PoissonBinomial	Phi	1.230	N	1.548			-615.650	1231.300	-6.714	17.428	3
1124	CaspianTern16	PoissonBinomial	Phi	1.228	N	1.574			-730.200	1460.400	-6.743	17.485	3
1125	GreatCormorant	PoissonBinomial	Phi	1.109	N	3.563			-74.942	149.884	-7.313	24.626	6
1126	DoubleCrestedCormorant1	PoissonBinomial	Phi	1.205	N	2.716			-35.558	71.116	-6.380	20.761	5
1127	DoubleCrestedCormorant2	PoissonBinomial	Phi	1.058	N	2.683			-68.785	137.570	-7.609	23.218	5
1128	DoubleCrestedCormorant4	PoissonBinomial	Phi	0.955	N	3.827			-25.991	51.982	-4.544	17.088	5
1129	DoubleCrestedCormorant7	PoissonBinomial	Phi	1.009	N	2.503			-49.730	99.460	-7.559	23.118	5
1130	DoubleCrestedCormorant8	PoissonBinomial	Phi	0.975	N	2.515			-33.583	67.166	-7.191	22.382	5
1131	DoubleCrestedCormorant9	PoissonBinomial	Phi	0.951	N	2.514			-24.293	48.586	-7.091	22.182	5
1132	DoubleCrestedCormorant10	PoissonBinomial	Phi	1.026	N	2.528			-29.275	58.550	-6.835	21.670	5
1133	EaredGrebe	PoissonBinomial	Phi	0.925	N	2.500			-29.530	59.060	-3.113	12.226	4
1134	HouseWren1	PoissonBinomial	Phi	0.757	N	8.631			-127.960	255.920	-8.619	33.238	9
1135	HouseWren2	PoissonBinomial	Phi	0.990	N	6.325			-117.250	234.500	-8.329	30.658	8
1136	HouseWren3	PoissonBinomial	Phi	0.886	N	7.558			-150.250	300.500	-9.498	34.996	9
1137	HouseWren4	PoissonBinomial	Phi	1.071	N	6.500			-162.100	324.200	-9.676	33.352	8
1138	HouseWren5	PoissonBinomial	Phi	0.985	N	7.053			-167.840	335.680	-7.918	31.835	9
1139	HouseWren6	PoissonBinomial	Phi	1.093	N	5.455			-95.488	190.976	-8.765	29.530	7
1140	HouseWren7	PoissonBinomial	Phi	1.022	N	6.230			-124.070	248.140	-9.763	33.526	8
1141	NorthernHarrier1	PoissonBinomial	Phi	1.111	N	3.667			-14.818	29.636	-7.673	29.345	8
1142	PrairieFalcon1	PoissonBinomial	Phi	1.075	N	3.573			-22.470	44.940	-5.332	20.664	6
1143	PrairieFalcon2	PoissonBinomial	Phi	1.131	N	3.606			-30.174	60.348	-5.829	21.658	6
1144	Redwingblackbird1	PoissonBinomial	Phi	0.874	N	3.640			-85.344	170.688	-5.794	19.587	5
1145	Redwingblackbird2	PoissonBinomial	Phi	0.830	N	3.882			-69.726	139.452	-5.644	19.288	5
1146	SnowyEgret	PoissonBinomial	Phi	0.985	N	3.735			-81.521	163.042	-5.858	19.716	5
1147	CattleEgret	PoissonBinomial	Phi	0.876	N	3.552			-51.591	103.182	-7.631	25.262	6
1148	LittleBlueHeron	PoissonBinomial	Phi	0.938	N	4.753			-44.533	89.066	-5.381	20.763	6
1149	TricoloredHeron1	PoissonBinomial	Phi	0.839	N	5.055			-29.984	59.968	-4.415	18.830	6
1150	TricoloredHeron2	PoissonBinomial	Phi	0.745	N	3.524			-60.255	120.510	-5.570	19.141	5
1151	WillowPtarmigan	PoissonBinomial	Phi	1.048	N	9.615			-26.495	52.990	-7.236	38.471	13
1152	YellowWarbler1	PoissonBinomial	Phi	0.926	N	4.751			-114.440	228.880	-5.344	20.688	6
1153	Redwingblackbird3	PoissonBinomial	Phi	0.834	N	4.982			-118.840	237.680	-6.252	22.505	6
1154	YellowWarbler2	PoissonBinomial	Phi	1.121	N	3.572			-33.096	66.192	-2.949	13.898	5
1155	YellowWarbler3	PoissonBinomial	Phi	0.896	N	4.888			-55.243	110.486	-2.205	12.411	5
1156	YellowWarbler4	PoissonBinomial	Phi	1.110	N	3.559			-52.958	105.916	-3.828	15.656	5
1157	YellowWarbler5	PoissonBinomial	Phi	1.138	N	3.659			-50.139	100.278	-3.142	14.285	5
1158	YellowWarbler6	PoissonBinomial	Phi	1.114	N	3.564			-70.342	140.684	-3.978	15.957	5
1159	YellowWarbler7	PoissonBinomial	Phi	1.098	N	3.650			-91.988	183.976	-4.228	16.457	5
1160	YellowWarbler8	PoissonBinomial	Phi	1.102	N	3.571			-121.850	243.700	-4.539	17.077	5
1161	YellowWarbler9	PoissonBinomial	Phi	1.122	N	3.791			-158.360	316.720	-5.904	19.808	5
1162	YellowWarbler10	PoissonBinomial	Phi	1.092	N	3.621			-104.670	209.340	-4.637	17.274	5
1163	YellowWarbler11	PoissonBinomial	Phi	1.148	N	3.847			-180.000	360.000	-5.937	19.873	5
1164	BarnSwallow2	PoissonBinomial	Phi	1.076	N	3.641			-23.992	47.984	-5.979	21.958	6
1165	BarnSwallow3	PoissonBinomial	Phi	1.145	N	3.687			-25.921	51.842	-7.318	24.637	6
1166	BarnSwallow4	PoissonBinomial	Phi	1.213	N	3.589			-27.937	55.874	-5.482	20.964	6
1167	WoodStork1	PoissonBinomial	Phi	1.076	N	2.690			-61.240	122.480	-4.752	15.504	4
1168	WoodStork2	PoissonBinomial	Phi	0.778	N	3.500			-42.236	84.472	-4.155	16.309	5
1169	WoodStork3	PoissonBinomial	Phi	1.342	N	1.843			-54.429	108.858	-3.613	11.226	3
1170	WoodStork4	PoissonBinomial	Phi	0.911	N	2.686			-38.952	77.904	-1.970	7.940	3
1171	WoodStork5	PoissonBinomial	Phi	1.353	N	1.536			-59.406	118.812	-3.464	10.928	3
1172	WoodStork6	PoissonBinomial	Phi	0.889	N	2.512			-49.868	99.736	-4.731	15.463	4
1173	WoodStork7	PoissonBinomial	Phi	0.960	N	2.759			-77.185	154.370	-3.757	13.514	4
1174	WoodStork8	PoissonBinomial	Phi	0.987	N	3.415			-28.840	57.680	-2.243	10.487	4
1175	WoodStork9	PoissonBinomial	Phi	0.848	N	2.665			-14.637	29.274	-3.684	13.368	4
1176	WoodStork10	PoissonBinomial	Phi	0.771	N	3.827			-45.802	91.604	-1.453	8.905	4
1177	WoodStork11	PoissonBinomial	Phi	0.982	N	3.386			-52.092	104.184	-3.425	12.851	4
1178	WoodStork12	PoissonBinomial	Phi	0.957	N	2.518			-37.723	75.446	-4.011	14.022	4
1179	WoodStork13	PoissonBinomial	Phi	1.099	N	2.584			-63.525	127.050	-4.178	14.356	4
1180	WoodStork14	PoissonBinomial	Phi	1.026	N	2.508			-94.792	189.584	-5.016	16.031	4
1181	WoodStork15	PoissonBinomial	Phi	1.029	N	2.592			-62.148	124.296	-4.242	14.484	4
1182	WoodStork16	PoissonBinomial	Phi	0.941	N	3.010			-21.262	42.524	-2.590	11.181	4
1183	WoodStork17	PoissonBinomial	Phi	1.039	N	2.739			-75.127	150.254	-5.585	17.170	4
1184	WoodStork18	PoissonBinomial	Phi	1.019	N	2.567			-111.880	223.760	-3.785	13.570	4
1185	WoodStork19	PoissonBinomial	Phi	0.994	N	2.588			-43.105	86.210	-4.580	15.159	4
1186	WoodStork20	PoissonBinomial	Phi	1.085	N	2.530			-33.430	66.860	-3.254	12.508	4
1187	WoodStork21	PoissonBinomial	Phi	0.972	N	3.466			-33.774	67.548	-3.795	13.591	4
1188	WoodStork22	PoissonBinomial	Phi	1.031	N	2.668			-45.657	91.314	-4.960	15.921	4
1189	WoodStork23	PoissonBinomial	Phi	0.976	N	2.501			-46.828	93.656	-4.510	15.019	4
1190	WoodStork24	PoissonBinomial	Phi	0.983	N	2.529			-66.961	133.922	-4.806	15.612	4
1191	WoodStork25	PoissonBinomial	Phi	0.809	N	3.550			-27.979	55.958	-4.082	16.163	5
1192	WoodStork26	PoissonBinomial	Phi	0.961	N	2.722			-42.527	85.054	-3.552	13.103	4
1193	WoodStork27	PoissonBinomial	Phi	1.001	N	3.500			-48.473	96.946	-3.272	12.544	4
1194	WoodStork28	PoissonBinomial	Phi	0.917	N	2.565			-63.945	127.890	-3.233	12.467	4
1195	WoodStork29	PoissonBinomial	Phi	0.979	N	2.510			-45.958	91.916	-3.856	13.711	4
1196	WoodStork30	PoissonBinomial	Phi	0.979	N	3.246			-82.703	165.406	-3.389	12.778	4
1197	WoodStork31	PoissonBinomial	Phi	0.963	N	2.511			-80.172	160.344	-3.838	13.676	4
1198	NorthernCardinal1	PoissonBinomial	Phi	0.828	N	2.628			-16.862	33.724	-4.899	15.798	4
1199	NorthernCardinal2	PoissonBinomial	Phi	0.846	N	2.805			-17.205	34.410	-4.132	14.265	4
1200	NorthernCardinal3	PoissonBinomial	Phi	0.744	N	2.760			-12.222	24.444	-4.341	14.683	4
1201	NorthernCardinal4	PoissonBinomial	Phi	1.172	N	1.503			-20.866	41.732	-3.523	11.046	3
1202	NorthernCardinal5	PoissonBinomial	Phi	0.826	N	2.576			-27.871	55.742	-4.787	15.574	4
1203	NorthernCardinal6	PoissonBinomial	Phi	0.937	N	2.680			-31.125	62.250	-3.158	12.316	4
1204	FloridaScrubJay1	PoissonBinomial	Phi	0.925	N	2.500			-31.741	63.482	-2.843	11.686	4
1205	FloridaScrubJay2	PoissonBinomial	Phi	0.805	N	3.520			-32.106	64.212	-4.367	16.733	5
1206	FloridaScrubJay3	PoissonBinomial	Phi	0.840	N	3.893			-26.411	52.822	-4.471	16.943	5
1207	FloridaScrubJay4	PoissonBinomial	Phi	0.896	N	3.766			-27.249	54.498	-4.988	17.975	5
1208	FloridaScrubJay5	PoissonBinomial	Phi	0.931	N	4.221			-31.957	63.914	-3.591	15.182	5
1209	FloridaScrubJay6	PoissonBinomial	Phi	0.828	N	3.537			-33.557	67.114	-4.502	17.003	5
1210	FloridaScrubJay7	PoissonBinomial	Phi	1.061	N	2.585			-23.092	46.184	-3.536	13.073	4
1211	FloridaScrubJay8	PoissonBinomial	Phi	0.881	N	2.500			-48.829	97.658	-3.802	13.605	4
1212	FloridaScrubJay9	PoissonBinomial	Phi	0.836	N	3.882			-31.377	62.754	-4.936	17.872	5
1213	SagebrushLizard	PoissonBinomial	Phi	0.969	N	3.752			-23.478	46.956	-8.937	29.874	7
1214	NorthernSnappingTurtle	PoissonBinomial	Phi	0.917	N	11.004			-22.761	45.522	-11.648	53.296	16
1215	Ouachitamapturtle	PoissonBinomial	Phi	0.944	N	11.847			-21.278	42.556	-11.121	54.243	17
1216	Insularpitviper1	PoissonBinomial	Phi	0.908	N	4.672			-17.257	34.514	-9.401	32.803	8
1217	Insularpitviper2	PoissonBinomial	Phi	0.904	N	3.637			-11.618	23.236	-8.417	28.834	7
1218	Westernterrestrialgartnersnake	PoissonBinomial	Phi	1.143	N	22.077			-28.268	56.536	-15.770	71.541	21
1219	Redearedslider1	PoissonBinomial	Phi	1.250	N	10.557			-36.371	72.742	-18.657	89.314	27
1220	Redearedslider2	PoissonBinomial	Phi	0.667	N	23.156			-48.931	97.862	-31.050	112.099	26
1221	Redearedslider3	PoissonBinomial	Phi	0.616	N	21.788			-42.834	85.668	-31.506	113.011	26
1222	Redearedslider4	PoissonBinomial	Phi	1.254	N	10.742			-40.516	81.032	-24.893	99.786	26
1223	Redearedslider5	PoissonBinomial	Phi	0.524	N	26.543			-58.698	117.396	-39.579	137.158	30
1224	Redearedslider6	PoissonBinomial	Phi	0.969	N	13.547			-58.972	117.944	-41.590	135.179	27
1225	Redearedslider7	PoissonBinomial	Phi	0.638	N	22.241			-31.550	63.100	-18.887	77.773	21
1226	Redearedslider8	PoissonBinomial	Phi	0.746	N	20.641			-62.003	124.006	-43.313	130.626	23
1227	Redearedslider9	PoissonBinomial	Phi	0.696	N	18.750			-54.124	108.248	-40.833	125.667	23
1228	Redearedslider10	PoissonBinomial	Phi	0.637	N	20.457			-29.523	59.046	-20.900	81.799	21
1229	Redearedslider11	PoissonBinomial	Phi	0.691	N	17.877			-25.674	51.348	-12.534	63.068	20
1230	Redearedslider12	PoissonBinomial	Phi	0.689	N	17.803			-27.187	54.374	-17.115	76.229	22
1231	Redearedslider13	PoissonBinomial	Phi	0.643	N	20.537			-28.620	57.240	-20.777	83.554	22
1232	Redearedslider14	PoissonBinomial	Phi	0.784	N	16.314			-27.469	54.938	-16.004	70.009	20
1233	Redearedslider15	PoissonBinomial	Phi	1.015	N	14.324			-36.094	72.188	-20.749	83.497	22
1234	Redearedslider16	PoissonBinomial	Phi	0.927	N	13.934			-35.275	70.550	-22.599	89.198	23
1235	Redearedslider17	PoissonBinomial	Phi	0.645	N	19.494			-47.226	94.452	-27.180	90.360	19
1236	Redearedslider18	PoissonBinomial	Phi	0.755	N	17.223			-43.794	87.588	-24.185	88.369	21
1237	Redearedslider19	PoissonBinomial	Phi	0.865	N	16.677			-31.997	63.994	-22.645	87.290	22
1238	Redearedslider20	PoissonBinomial	Phi	0.805	N	15.482			-25.134	50.268	-16.197	66.394	18
1239	Redearedslider21	PoissonBinomial	Phi	0.822	N	15.239			-29.167	58.334	-18.597	71.195	18
1240	Redearedslider22	PoissonBinomial	Phi	0.818	N	15.752			-35.158	70.316	-24.406	92.812	23
1241	Walllizard1	PoissonBinomial	Phi	1.576	N	9.225			-26.083	52.166	-17.412	66.824	17
1242	IguanidLizard	PoissonBinomial	Phi	0.880	N	2.796			-17.589	35.178	-3.069	12.138	4
1243	Sixlinedracerunner1	PoissonBinomial	Phi	1.536	N	5.684			-27.086	54.172	-13.541	51.081	13
1244	Sixlinedracerunner2	PoissonBinomial	Phi	0.922	N	3.664			-18.088	36.176	-8.052	26.104	6
1245	Sixlinedracerunner3	PoissonBinomial	Phi	0.850	N	2.793			-11.615	23.230	-3.982	13.964	4
1246	Sixlinedracerunner4	PoissonBinomial	Phi	1.014	N	2.705			-28.638	57.276	-7.059	22.119	5
1247	Sixlinedracerunner5	PoissonBinomial	Phi	0.885	N	3.723			-16.078	32.156	-4.953	19.905	6
1248	SnowshoeHare	PoissonBinomial	Phi	0.906	N	2.822			-15.406	30.812	-4.989	15.979	4
1249	Mearnscottontailrabbit	PoissonBinomial	Phi	0.951	N	6.053			-15.656	31.312	-7.859	31.719	9
1250	MaskedShrew	PoissonBinomial	Phi	0.608	N	12.573			-19.873	39.746	-10.049	42.099	12
1251	Deermouse1	PoissonBinomial	Phi	0.998	N	4.719			-58.883	117.766	-7.829	27.659	7
1252	AfricanLion	PoissonBinomial	Phi	0.811	N	2.577			-55.217	110.434	-7.941	21.882	4
1253	CollaredPeccary	PoissonBinomial	Phi	0.742	N	1.500			-13.143	26.286	-3.159	10.318	3
1254	Whitefootedmouse	PoissonBinomial	Phi	1.066	N	3.663			-41.215	82.430	-12.058	36.115	7
1255	Wildmuskrat	PoissonBinomial	Phi	0.795	N	9.119			-39.377	78.754	-14.285	50.569	12
1256	Molerat	PoissonBinomial	Phi	0.504	N	3.209			-38.261	76.522	-4.980	15.960	4
1257	Prairievoles	PoissonBinomial	Phi	0.775	N	4.515			-41.549	83.098	-10.345	32.689	7
1258	Housemouse	PoissonBinomial	Phi	0.583	N	9.902			-26.157	52.314	-14.346	50.692	12
1259	Woodlandmouse	PoissonBinomial	Phi	0.887	N	4.700			-15.182	30.364	-5.988	23.976	7
1260	Westernharvestmouse	PoissonBinomial	Phi	0.950	N	3.594			-16.557	33.114	-5.871	21.742	6
1261	Deermouse2	PoissonBinomial	Phi	0.862	N	4.839			-25.393	50.786	-4.069	18.137	6
1262	Deermouse3	PoissonBinomial	Phi	0.936	N	4.779			-13.051	26.102	-6.439	24.878	7
1263	Deermouse4	PoissonBinomial	Phi	0.620	N	9.368			-17.490	34.980	-9.160	34.321	9
1264	BrownBandicoot	PoissonBinomial	Phi	0.768	N	3.631			-17.382	34.764	-8.299	26.598	6
1265	YellowMudTurtle1	PoissonBinomial	Phi	0.791	N	7.983			-94.943	189.886	-11.301	38.602	9
1266	YellowMudTurtle2	PoissonBinomial	Phi	0.838	N	7.316			-24.962	49.924	-7.239	30.478	9
1267	YellowMudTurtle3	PoissonBinomial	Phi	0.662	N	8.585			-117.160	234.320	-14.669	45.337	9
1268	YellowMudTurtle4	PoissonBinomial	Phi	1.159	N	6.500			-168.760	337.520	-11.495	36.990	8
1269	EasternPaintedTurtle1	PoissonBinomial	Phi	0.637	N	22.517			-18.102	36.204	-11.754	61.507	20
1270	EasternPaintedTurtle2	PoissonBinomial	Phi	0.869	N	15.325			-22.827	45.654	-6.933	41.866	15
1271	Eastern_Painted_Turtle3	PoissonBinomial	Phi	0.704	N	12.166			-16.460	32.920	-10.133	46.267	14
1272	Lesser_Scaup	PoissonBinomial	Phi	0.806	N	11.500			-34.039	68.078	-10.848	47.696	14
1273	Mute_Swan	PoissonBinomial	Phi	0.817	N	5.555			-16.527	33.054	-9.393	36.786	10
1274	GoldenEagle9	PoissonBinomial	Phi	0.788	N	1.500			-11.405	22.810	-2.915	9.830	3
1457	AmericanAvocet1	PoissonRectangular	a	3.722	b	3.722			-79.530	159.060	-3.633	13.266	4
1458	AmericanAvocet2	PoissonRectangular	a	3.922	b	3.922			-118.300	236.600	-3.782	15.564	5
1459	BankSwallow1	PoissonRectangular	a	5.000	b	5.000			-108.260	216.520	-8.913	29.825	7
1460	Cacklinggoose1	PoissonRectangular	a	4.300	b	4.301			-50.638	101.276	-16.438	48.877	9
1461	Cacklinggoose2	PoissonRectangular	a	3.973	b	3.974			-56.776	113.552	-15.691	45.383	8
1462	Cacklinggoose3	PoissonRectangular	a	4.055	b	4.055			-51.565	103.130	-13.759	39.517	7
1463	Cacklinggoose4	PoissonRectangular	a	4.794	b	4.794			-61.595	123.190	-12.899	37.798	7
1464	Blackbrant1	PoissonRectangular	a	1.777	b	3.738			-17.520	35.040	-7.072	24.144	6
1465	Blackbrant2	PoissonRectangular	a	3.514	b	3.514			-16.686	33.372	-8.985	29.970	7
1466	Blackbrant3	PoissonRectangular	a	1.966	b	3.462			-16.659	33.318	-7.709	25.419	6
1467	Blackbrant4	PoissonRectangular	a	4.138	b	4.138			-17.456	34.912	-6.680	23.361	6
1468	Emperorgoose1	PoissonRectangular	a	4.900	b	4.900			-12.281	24.562	-5.613	23.226	7
1469	Emperorgoose2	PoissonRectangular	a	4.200	b	4.200			-12.063	24.126	-6.091	24.182	7
1470	Emperorgoose3	PoissonRectangular	a	4.591	b	4.591			-14.599	29.198	-5.327	20.654	6
1471	Whitefrontedgoose1	PoissonRectangular	a	4.542	b	4.542			-14.101	28.202	-6.894	25.789	7
1472	Whitefrontedgoose2	PoissonRectangular	a	5.304	b	5.304			-13.891	27.782	-6.554	27.108	8
1473	SpectacledEider1	PoissonRectangular	a	3.919	b	3.919			-17.066	34.132	-6.714	23.429	6
1474	SpectacledEider2	PoissonRectangular	a	4.657	b	4.657			-32.342	64.684	-9.588	33.176	8
1475	SpectacledEider3	PoissonRectangular	a	4.375	b	4.375			-19.948	39.896	-7.351	26.701	7
1476	SpectacledEider4	PoissonRectangular	a	4.667	b	4.667			-19.432	38.864	-8.426	28.851	7
1477	CaspianTern5	PoissonRectangular	a	2.360	b	2.360			-128.420	256.840	-5.329	14.659	3
