area,number,latitude,species,Tb,time,date,family
X,21084,27.36666667,Pedioplanis_lineoocellata,37.7,11:53,09/24/70,Lacertidae
X,21085,27.36666667,Pedioplanis_lineoocellata,38.7,11:56,09/24/70,Lacertidae
X,21083,27.36666667,Pedioplanis_lineoocellata,38.9,11:50,09/24/70,Lacertidae
X,21112,27.36666667,Pedioplanis_lineoocellata,40.1,14:40,09/24/70,Lacertidae
T,21127,26.13333333,Pedioplanis_lineoocellata,37.1,16:04,09/25/70,Lacertidae
T,21162,26.13333333,Pedioplanis_lineoocellata,33.7,10:08,09/26/70,Lacertidae
T,21185,26.13333333,Pedioplanis_lineoocellata,35.1,16:31,09/26/70,Lacertidae
T,21170,26.13333333,Pedioplanis_lineoocellata,37.4,11:55,09/26/70,Lacertidae
T,21172,26.13333333,Pedioplanis_lineoocellata,38.2,12:05,09/26/70,Lacertidae
T,21177,26.13333333,Pedioplanis_lineoocellata,38.9,12:40,09/26/70,Lacertidae
T,21178,26.13333333,Pedioplanis_lineoocellata,39.9,12:41,09/26/70,Lacertidae
T,21227,26.13333333,Pedioplanis_lineoocellata,33.1,13:53,09/27/70,Lacertidae
T,21225,26.13333333,Pedioplanis_lineoocellata,36.2,13:43,09/27/70,Lacertidae
T,21231,26.13333333,Pedioplanis_lineoocellata,36.7,14:14,09/27/70,Lacertidae
T,21237,26.13333333,Pedioplanis_lineoocellata,36.8,14:50,09/27/70,Lacertidae
T,21232,26.13333333,Pedioplanis_lineoocellata,37.5,14:19,09/27/70,Lacertidae
T,21230,26.13333333,Pedioplanis_lineoocellata,37.7,14:11,09/27/70,Lacertidae
T,21236,26.13333333,Pedioplanis_lineoocellata,38.6,14:34,09/27/70,Lacertidae
D,21272,27.28333333,Pedioplanis_lineoocellata,34.7,16:06,09/28/70,Lacertidae
D,21269,27.28333333,Pedioplanis_lineoocellata,36,15:40,09/28/70,Lacertidae
D,21270,27.28333333,Pedioplanis_lineoocellata,36.3,15:46,09/28/70,Lacertidae
D,21274,27.28333333,Pedioplanis_lineoocellata,36.3,16:18,09/28/70,Lacertidae
D,21267,27.28333333,Pedioplanis_lineoocellata,37.2,15:21,09/28/70,Lacertidae
D,21265,27.28333333,Pedioplanis_lineoocellata,38,14:57,09/28/70,Lacertidae
D,21266,27.28333333,Pedioplanis_lineoocellata,38.3,15:15,09/28/70,Lacertidae
X,21291,27.36666667,Pedioplanis_lineoocellata,34.6,10:13,10/02/70,Lacertidae
X,21286,27.36666667,Pedioplanis_lineoocellata,35.1,9:59,10/02/70,Lacertidae
X,21294,27.36666667,Pedioplanis_lineoocellata,35.1,10:24,10/02/70,Lacertidae
X,21295,27.36666667,Pedioplanis_lineoocellata,35.1,10:29,10/02/70,Lacertidae
X,21289,27.36666667,Pedioplanis_lineoocellata,35.2,10:08,10/02/70,Lacertidae
X,21282,27.36666667,Pedioplanis_lineoocellata,35.3,9:45,10/02/70,Lacertidae
X,21332,27.36666667,Pedioplanis_lineoocellata,35.3,17:15,10/02/70,Lacertidae
X,21281,27.36666667,Pedioplanis_lineoocellata,35.5,9:35,10/02/70,Lacertidae
X,21284,27.36666667,Pedioplanis_lineoocellata,35.5,9:54,10/02/70,Lacertidae
X,21288,27.36666667,Pedioplanis_lineoocellata,35.6,10:05,10/02/70,Lacertidae
X,21298,27.36666667,Pedioplanis_lineoocellata,35.7,11:11,10/02/70,Lacertidae
X,21292,27.36666667,Pedioplanis_lineoocellata,35.8,10:16,10/02/70,Lacertidae
X,21313,27.36666667,Pedioplanis_lineoocellata,36.3,13:30,10/02/70,Lacertidae
X,21318,27.36666667,Pedioplanis_lineoocellata,36.6,13:47,10/02/70,Lacertidae
X,21321,27.36666667,Pedioplanis_lineoocellata,37.2,16:23,10/02/70,Lacertidae
X,21296,27.36666667,Pedioplanis_lineoocellata,37.7,10:34,10/02/70,Lacertidae
X,21311,27.36666667,Pedioplanis_lineoocellata,38.4,13:23,10/02/70,Lacertidae
X,21348,27.36666667,Pedioplanis_lineoocellata,35.8,11:19,10/03/70,Lacertidae
X,21361,27.36666667,Pedioplanis_lineoocellata,36,13:35,10/03/70,Lacertidae
X,21338,27.36666667,Pedioplanis_lineoocellata,36.5,10:17,10/03/70,Lacertidae
X,21340,27.36666667,Pedioplanis_lineoocellata,36.9,10:23,10/03/70,Lacertidae
X,21335,27.36666667,Pedioplanis_lineoocellata,37.6,9:52,10/03/70,Lacertidae
X,21341,27.36666667,Pedioplanis_lineoocellata,38.2,10:30,10/03/70,Lacertidae
X,21337,27.36666667,Pedioplanis_lineoocellata,38.4,10:10,10/03/70,Lacertidae
X,21362,27.36666667,Pedioplanis_lineoocellata,39.5,13:37,10/03/70,Lacertidae
X,21372,27.36666667,Pedioplanis_lineoocellata,34.5,9:10,10/04/70,Lacertidae
X,21379,27.36666667,Pedioplanis_lineoocellata,37.8,10:19,10/04/70,Lacertidae
X,21387,27.36666667,Pedioplanis_lineoocellata,39.3,11:10,10/04/70,Lacertidae
T,21410,26.13333333,Pedioplanis_lineoocellata,34.1,11:25,10/05/70,Lacertidae
T,21399,26.13333333,Pedioplanis_lineoocellata,35.7,10:14,10/05/70,Lacertidae
T,21394,26.13333333,Pedioplanis_lineoocellata,36.4,9:44,10/05/70,Lacertidae
T,21392,26.13333333,Pedioplanis_lineoocellata,36.9,9:36,10/05/70,Lacertidae
T,21398,26.13333333,Pedioplanis_lineoocellata,37.1,10:11,10/05/70,Lacertidae
T,21396,26.13333333,Pedioplanis_lineoocellata,37.6,10:03,10/05/70,Lacertidae
T,21393,26.13333333,Pedioplanis_lineoocellata,37.7,9:39,10/05/70,Lacertidae
T,21414,26.13333333,Pedioplanis_lineoocellata,40.1,11:49,10/05/70,Lacertidae
D,21473,27.28333333,Pedioplanis_lineoocellata,33.6,15:52,10/07/70,Lacertidae
D,21537,27.28333333,Pedioplanis_lineoocellata,33.6,16:53,10/08/70,Lacertidae
D,21514,27.28333333,Pedioplanis_lineoocellata,34.2,12:29,10/08/70,Lacertidae
D,21535,27.28333333,Pedioplanis_lineoocellata,34.3,16:46,10/08/70,Lacertidae
D,21511,27.28333333,Pedioplanis_lineoocellata,34.6,12:17,10/08/70,Lacertidae
D,21513,27.28333333,Pedioplanis_lineoocellata,34.8,12:26,10/08/70,Lacertidae
D,21518,27.28333333,Pedioplanis_lineoocellata,34.8,12:59,10/08/70,Lacertidae
D,21508,27.28333333,Pedioplanis_lineoocellata,35,12:05,10/08/70,Lacertidae
D,21531,27.28333333,Pedioplanis_lineoocellata,35,16:25,10/08/70,Lacertidae
D,21528,27.28333333,Pedioplanis_lineoocellata,35.3,16:08,10/08/70,Lacertidae
D,21532,27.28333333,Pedioplanis_lineoocellata,35.5,16:32,10/08/70,Lacertidae
D,21506,27.28333333,Pedioplanis_lineoocellata,35.9,11:44,10/08/70,Lacertidae
D,21534,27.28333333,Pedioplanis_lineoocellata,36.4,16:43,10/08/70,Lacertidae
D,21516,27.28333333,Pedioplanis_lineoocellata,36.7,12:45,10/08/70,Lacertidae
D,21510,27.28333333,Pedioplanis_lineoocellata,37.4,12:12,10/08/70,Lacertidae
D,21530,27.28333333,Pedioplanis_lineoocellata,37.6,16:20,10/08/70,Lacertidae
D,21507,27.28333333,Pedioplanis_lineoocellata,37.8,11:59,10/08/70,Lacertidae
D,21505,27.28333333,Pedioplanis_lineoocellata,38.3,11:40,10/08/70,Lacertidae
G,21555,28.21666667,Pedioplanis_lineoocellata,35.7,13:14,10/10/70,Lacertidae
G,21547,28.21666667,Pedioplanis_lineoocellata,37.4,12:30,10/10/70,Lacertidae
G,21560,28.21666667,Pedioplanis_lineoocellata,37.4,14:10,10/10/70,Lacertidae
G,21564,28.21666667,Pedioplanis_lineoocellata,37.4,14:40,10/10/70,Lacertidae
G,21558,28.21666667,Pedioplanis_lineoocellata,37.7,13:54,10/10/70,Lacertidae
G,21562,28.21666667,Pedioplanis_lineoocellata,37.7,14:35,10/10/70,Lacertidae
G,21559,28.21666667,Pedioplanis_lineoocellata,39.4,14:05,10/10/70,Lacertidae
G,21582,28.21666667,Pedioplanis_lineoocellata,35.1,11:03,10/11/70,Lacertidae
G,21589,28.21666667,Pedioplanis_lineoocellata,35.1,12:15,10/11/70,Lacertidae
G,21586,28.21666667,Pedioplanis_lineoocellata,36.8,12:03,10/11/70,Lacertidae
G,21587,28.21666667,Pedioplanis_lineoocellata,37,12:08,10/11/70,Lacertidae
G,21584,28.21666667,Pedioplanis_lineoocellata,37.2,11:51,10/11/70,Lacertidae
G,21602,28.21666667,Pedioplanis_lineoocellata,37.3,15:11,10/11/70,Lacertidae
G,21593,28.21666667,Pedioplanis_lineoocellata,38.6,12:49,10/11/70,Lacertidae
G,21588,28.21666667,Pedioplanis_lineoocellata,39.8,12:11,10/11/70,Lacertidae
R,21623,28.23333333,Pedioplanis_lineoocellata,38.1,13:29,10/12/70,Lacertidae
NA,21690,27.96666667,Pedioplanis_lineoocellata,36,17:20,10/14/70,Lacertidae
NA,21678,27.96666667,Pedioplanis_lineoocellata,39.1,11:20,10/14/70,Lacertidae
L,15082,-26.38,Trachylepis occidentalis,36.8,12:10,11/28/69,Scindidae
K,15098,-25.75,Trachylepis occidentalis,37,11:47,11/29/69,Scindidae
K,15148,-25.75,Trachylepis occidentalis,39.6,16:25,11/30/69,Scindidae
K,15154,-25.75,Trachylepis occidentalis,38,18:33,11/30/69,Scindidae
K,15174,-25.75,Trachylepis occidentalis,37.6,18:25,11/29/69,Scindidae
NA,15288,-27.23,Trachylepis occidentalis,36.4,10:22,12/08/69,Scindidae
NA,15290,-27.23,Trachylepis occidentalis,34.1,15:07,12/08/69,Scindidae
NA,15315,-27.63,Trachylepis occidentalis,38.4,13:37,12/07/69,Scindidae
K,15402,-25.75,Trachylepis occidentalis,35.8,11:27,12/12/69,Scindidae
K,15409,-25.75,Trachylepis occidentalis,36.6,11:16,12/12/69,Scindidae
K,15410,-25.75,Trachylepis occidentalis,37.9,11:20,12/12/69,Scindidae
K,15438,-25.75,Trachylepis occidentalis,39,12:23,12/12/69,Scindidae
K,15439,-25.75,Trachylepis occidentalis,35.3,12:32,12/12/69,Scindidae
K,15462,-25.75,Trachylepis occidentalis,37.4,18:24,12/12/69,Scindidae
M,15510,-26.37,Trachylepis occidentalis,36.4,18:03,12/14/69,Scindidae
A,15818,-27.37,Trachylepis occidentalis,34.7,9:59,01/02/70,Scindidae
A,15822,-27.37,Trachylepis occidentalis,24.9,11:10,01/02/70,Scindidae
A,15825,-27.37,Trachylepis occidentalis,39.8,13:26,01/02/70,Scindidae
A,15826,-27.37,Trachylepis occidentalis,36.5,13:48,01/02/70,Scindidae
A,15827,-27.37,Trachylepis occidentalis,35,14:05,01/02/70,Scindidae
A,15830,-27.37,Trachylepis occidentalis,34.5,14:31,01/02/70,Scindidae
A,15834,-27.37,Trachylepis occidentalis,31.4,10:30,01/02/70,Scindidae
NA,15956,-27.67,Trachylepis occidentalis,36.8,18:17,01/05/70,Scindidae
T,16016,-26.13,Trachylepis occidentalis,39.2,10:08,01/07/70,Scindidae
D,16034,-27.28,Trachylepis occidentalis,36.3,9:41,01/09/70,Scindidae
D,16084,-27.28,Trachylepis occidentalis,36.3,8:12,01/22/70,Scindidae
D,16087,-27.28,Trachylepis occidentalis,35.8,9:00,01/22/70,Scindidae
D,16140,-27.28,Trachylepis occidentalis,40.2,9:48,01/22/70,Scindidae
T,16199,-26.13,Trachylepis occidentalis,37.6,9:55,01/23/70,Scindidae
T,16267,-26.13,Trachylepis occidentalis,30.5,8:46,01/24/70,Scindidae
G,16418,-28.22,Trachylepis occidentalis,34,8:50,01/28/70,Scindidae
G,16419,-28.22,Trachylepis occidentalis,34.4,8:55,01/28/70,Scindidae
A,16449,-27.37,Trachylepis occidentalis,38,18:27,01/29/70,Scindidae
A,16455,-27.37,Trachylepis occidentalis,37.6,9:10,01/29/70,Scindidae
A,16466,-27.37,Trachylepis occidentalis,42,10:58,01/29/70,Scindidae
A,16473,-27.37,Trachylepis occidentalis,36.2,9:53,01/29/70,Scindidae
A,16474,-27.37,Trachylepis occidentalis,37.2,10:00,01/29/70,Scindidae
A,16575,-27.37,Trachylepis occidentalis,34.3,9:02,01/31/70,Scindidae
A,16578,-27.37,Trachylepis occidentalis,37.5,10:15,01/31/70,Scindidae
B,16596,-27,Trachylepis occidentalis,35.4,9:43,02/01/70,Scindidae
B,16609,-27,Trachylepis occidentalis,37.6,10:36,02/02/70,Scindidae
A,16612,-27.37,Trachylepis occidentalis,38,10:14,01/31/70,Scindidae
B,16627,-27,Trachylepis occidentalis,38,11:15,02/01/70,Scindidae
B,16656,-27,Trachylepis occidentalis,32,8:01,02/02/70,Scindidae
B,16658,-27,Trachylepis occidentalis,35.2,8:18,02/02/70,Scindidae
B,16660,-27,Trachylepis occidentalis,34.4,8:30,02/02/70,Scindidae
B,16661,-27,Trachylepis occidentalis,36.5,8:44,02/02/70,Scindidae
B,16672,-27,Trachylepis occidentalis,36,8:20,02/02/70,Scindidae
L,16702,-26.38,Trachylepis occidentalis,36.4,17:23,02/03/70,Scindidae
L,16723,-26.38,Trachylepis occidentalis,34.2,14:36,02/03/70,Scindidae
L,16731,-26.38,Trachylepis occidentalis,32.4,14:35,02/03/70,Scindidae
L,16734,-26.38,Trachylepis occidentalis,36.4,15:02,02/03/70,Scindidae
L,16736,-26.38,Trachylepis occidentalis,36.6,15:20,02/03/70,Scindidae
L,16737,-26.38,Trachylepis occidentalis,33.6,15:55,02/03/70,Scindidae
K,16770,-25.75,Trachylepis occidentalis,37,16:50,02/05/70,Scindidae
L,16772,-26.38,Trachylepis occidentalis,33.9,10:50,02/04/70,Scindidae
L,16773,-26.38,Trachylepis occidentalis,32.5,11:10,02/04/70,Scindidae
L,16813,-26.38,Trachylepis occidentalis,35.6,14:21,02/04/70,Scindidae
K,16886,-25.75,Trachylepis occidentalis,36.4,16:33,02/05/70,Scindidae
K,16932,-25.75,Trachylepis occidentalis,39.4,17:01,02/05/70,Scindidae
K,16933,-25.75,Trachylepis occidentalis,37.3,17:06,02/05/70,Scindidae
K,16935,-25.75,Trachylepis occidentalis,35.7,17:15,02/05/70,Scindidae
K,16937,-25.75,Trachylepis occidentalis,33.7,17:23,02/05/70,Scindidae
K,16946,-25.75,Trachylepis occidentalis,35.4,18:14,02/05/70,Scindidae
K,16949,-25.75,Trachylepis occidentalis,35.3,18:23,02/05/70,Scindidae
K,16969,-25.75,Trachylepis occidentalis,36.7,9:49,02/06/70,Scindidae
K,16970,-25.75,Trachylepis occidentalis,34.2,9:52,02/06/70,Scindidae
K,16971,-25.75,Trachylepis occidentalis,35.9,9:55,02/06/70,Scindidae
K,16994,-25.75,Trachylepis occidentalis,37.1,9:40,02/06/70,Scindidae
K,16995,-25.75,Trachylepis occidentalis,37.2,9:53,02/06/70,Scindidae
K,17006,-25.75,Trachylepis occidentalis,38.4,14:46,02/06/70,Scindidae
K,17007,-25.75,Trachylepis occidentalis,35.2,15:00,02/06/70,Scindidae
B,17035,-27,Trachylepis occidentalis,37,10:43,02/08/70,Scindidae
B,17040,-27,Trachylepis occidentalis,36,11:38,02/08/70,Scindidae
B,17056,-27,Trachylepis occidentalis,36,10:15,02/08/70,Scindidae
B,17080,-27,Trachylepis occidentalis,35.6,9:41,02/08/70,Scindidae
B,17097,-27,Trachylepis occidentalis,38.4,11:55,02/08/70,Scindidae
B,17127,-27,Trachylepis occidentalis,37.8,9:28,02/09/70,Scindidae
B,17129,-27,Trachylepis occidentalis,34.5,10:04,02/09/70,Scindidae
B,17155,-27,Trachylepis occidentalis,36.4,10:40,02/09/70,Scindidae
T,17414,-26.13,Trachylepis occidentalis,33.7,9:10,02/20/70,Scindidae
T,17418,-26.13,Trachylepis occidentalis,36.7,9:21,02/20/70,Scindidae
T,17496,-26.13,Trachylepis occidentalis,37.4,17:16,02/20/70,Scindidae
T,17520,-26.13,Trachylepis occidentalis,36.8,9:49,02/21/70,Scindidae
T,17536,-26.13,Trachylepis occidentalis,37.3,9:34,02/21/70,Scindidae
T,17589,-26.13,Trachylepis occidentalis,36,10:26,02/21/70,Scindidae
T,17591,-26.13,Trachylepis occidentalis,38.7,10:33,02/21/70,Scindidae
T,17597,-26.13,Trachylepis occidentalis,37.4,11:35,02/21/70,Scindidae
T,17642,-26.13,Trachylepis occidentalis,33.2,8:37,02/22/70,Scindidae
T,17644,-26.13,Trachylepis occidentalis,34.7,8:55,02/22/70,Scindidae
T,17647,-26.13,Trachylepis occidentalis,36.2,9:30,02/22/70,Scindidae
T,17655,-26.13,Trachylepis occidentalis,38,11:20,02/22/70,Scindidae
T,17675,-26.13,Trachylepis occidentalis,37.1,11:05,02/22/70,Scindidae
T,17713,-26.13,Trachylepis occidentalis,34.7,9:30,02/23/70,Scindidae
T,17738,-26.13,Trachylepis occidentalis,36.7,9:15,02/23/70,Scindidae
T,17769,-26.13,Trachylepis occidentalis,36.9,9:47,02/23/70,Scindidae
D,17831,-27.28,Trachylepis occidentalis,38.1,12:30,02/24/70,Scindidae
D,17854,-27.28,Trachylepis occidentalis,38.1,9:54,02/25/70,Scindidae
G,17856,-28.22,Trachylepis occidentalis,34.3,8:41,02/26/70,Scindidae
G,17857,-28.22,Trachylepis occidentalis,34.4,8:45,02/26/70,Scindidae
G,17891,-28.22,Trachylepis occidentalis,36.4,10:08,02/27/70,Scindidae
G,17892,-28.22,Trachylepis occidentalis,35.7,10:13,02/27/70,Scindidae
G,17893,-28.22,Trachylepis occidentalis,39.1,10:41,02/27/70,Scindidae
G,17894,-28.22,Trachylepis occidentalis,39.2,10:44,02/27/70,Scindidae
G,17905,-28.22,Trachylepis occidentalis,37.4,9:58,02/26/70,Scindidae
G,17960,-28.22,Trachylepis occidentalis,39.4,11:11,02/26/70,Scindidae
L,18242,-26.38,Trachylepis occidentalis,34.8,10:21,03/11/70,Scindidae
L,18249,-26.38,Trachylepis occidentalis,37.7,11:14,03/11/70,Scindidae
L,18250,-26.38,Trachylepis occidentalis,38.5,11:21,03/11/70,Scindidae
L,18259,-26.38,Trachylepis occidentalis,37.8,11:55,03/11/70,Scindidae
L,18316,-26.38,Trachylepis occidentalis,38,10:25,03/12/70,Scindidae
K,18406,-25.75,Trachylepis occidentalis,33.2,18:10,03/12/70,Scindidae
K,18501,-25.75,Trachylepis occidentalis,36.7,10:54,03/13/70,Scindidae
A,18506,-27.37,Trachylepis occidentalis,37.3,10:19,04/02/70,Scindidae
T,18863,-26.13,Trachylepis occidentalis,36,10:14,04/16/70,Scindidae
D,19042,-27.28,Trachylepis occidentalis,35.3,9:50,04/21/70,Scindidae
G,19068,-28.22,Trachylepis occidentalis,34.5,14:59,04/22/70,Scindidae
G,19069,-28.22,Trachylepis occidentalis,36.8,15:02,04/22/70,Scindidae
G,19104,-28.22,Trachylepis occidentalis,33.8,10:42,04/23/70,Scindidae
L,19294,-26.38,Trachylepis occidentalis,31.3,11:07,05/11/70,Scindidae
K,19393,-25.75,Trachylepis occidentalis,34.1,14:55,05/12/70,Scindidae
B,19495,-27,Trachylepis occidentalis,30.8,16:07,05/14/70,Scindidae
T,21167,-26.13,Trachylepis occidentalis,31.2,11:04,09/26/70,Scindidae
D,21273,-27.28,Trachylepis occidentalis,32.3,16:11,09/28/70,Scindidae
X,21315,-27.37,Trachylepis occidentalis,35.7,13:41,10/02/70,Scindidae
T,21409,-26.13,Trachylepis occidentalis,35.1,11:20,10/05/70,Scindidae
D,21474,-27.28,Trachylepis occidentalis,32.6,16:13,10/07/70,Scindidae
G,21561,-28.22,Trachylepis occidentalis,38.6,14:14,10/10/70,Scindidae
R,21608,-28.23,Trachylepis occidentalis,36.4,11:30,10/12/70,Scindidae
L,15062,-26.38,Trachylepis sparsa,34,11:55,11/28/69,Scindidae
L,15063,-26.38,Trachylepis sparsa,33.8,12:11,11/28/69,Scindidae
L,15064,-26.38,Trachylepis sparsa,33,12:20,11/28/69,Scindidae
L,15074,-26.38,Trachylepis sparsa,31.4,11:17,11/28/69,Scindidae
L,15075,-26.38,Trachylepis sparsa,31.4,11:25,11/28/69,Scindidae
K,15093,-25.75,Trachylepis sparsa,37.4,11:05,11/29/69,Scindidae
K,15094,-25.75,Trachylepis sparsa,36.4,11:13,11/29/69,Scindidae
K,15096,-25.75,Trachylepis sparsa,36.4,11:33,11/29/69,Scindidae
K,15097,-25.75,Trachylepis sparsa,36.8,11:45,11/29/69,Scindidae
K,15099,-25.75,Trachylepis sparsa,37,11:55,11/29/69,Scindidae
K,15104,-25.75,Trachylepis sparsa,37,12:30,11/29/69,Scindidae
K,15107,-25.75,Trachylepis sparsa,36.4,12:53,11/29/69,Scindidae
K,15108,-25.75,Trachylepis sparsa,36.6,13:00,11/29/69,Scindidae
K,15110,-25.75,Trachylepis sparsa,38,16:01,11/29/69,Scindidae
L,15116,-26.38,Trachylepis sparsa,35.2,15:55,11/28/69,Scindidae
L,15117,-26.38,Trachylepis sparsa,36.6,15:56,11/28/69,Scindidae
L,15118,-26.38,Trachylepis sparsa,33.1,16:04,11/28/69,Scindidae
K,15131,-25.75,Trachylepis sparsa,33.5,11:05,11/30/69,Scindidae
K,15132,-25.75,Trachylepis sparsa,35.6,11:15,11/30/69,Scindidae
K,15133,-25.75,Trachylepis sparsa,36.2,11:30,11/30/69,Scindidae
K,15134,-25.75,Trachylepis sparsa,36.1,11:45,11/30/69,Scindidae
K,15142,-25.75,Trachylepis sparsa,37.1,13:00,11/30/69,Scindidae
NA,15258,-26.8,Trachylepis sparsa,33.4,9:15,12/05/69,Scindidae
NA,15308,-26.8,Trachylepis sparsa,33.8,9:38,12/05/69,Scindidae
NA,15309,-26.8,Trachylepis sparsa,32,9:39,12/05/69,Scindidae
NA,15345,-26.55,Trachylepis sparsa,33,9:05,12/10/69,Scindidae
NA,15348,-26.55,Trachylepis sparsa,33,10:08,12/10/69,Scindidae
NA,15354,-26.55,Trachylepis sparsa,36.4,11:38,12/10/69,Scindidae
NA,15371,-26.55,Trachylepis sparsa,32.5,9:28,12/10/69,Scindidae
NA,15372,-26.55,Trachylepis sparsa,32.6,9:55,12/10/69,Scindidae
NA,15373,-26.55,Trachylepis sparsa,32.6,10:15,12/10/69,Scindidae
NA,15375,-26.55,Trachylepis sparsa,35.6,11:42,12/10/69,Scindidae
K,15399,-25.75,Trachylepis sparsa,33.3,11:05,12/12/69,Scindidae
K,15405,-25.75,Trachylepis sparsa,35.8,11:47,12/12/69,Scindidae
K,15441,-25.75,Trachylepis sparsa,34.8,14:52,12/12/69,Scindidae
K,15443,-25.75,Trachylepis sparsa,35,12:03,12/12/69,Scindidae
K,15447,-25.75,Trachylepis sparsa,37.4,15:15,12/12/69,Scindidae
B,15526,-27,Trachylepis sparsa,34.8,9:15,12/16/69,Scindidae
B,15527,-27,Trachylepis sparsa,36.4,9:30,12/16/69,Scindidae
B,15530,-27,Trachylepis sparsa,34.4,10:25,12/16/69,Scindidae
B,15531,-27,Trachylepis sparsa,35.6,10:23,12/16/69,Scindidae
B,15532,-27,Trachylepis sparsa,35.2,10:37,12/16/69,Scindidae
NA,15559,-27.85,Trachylepis sparsa,35.6,18:55,12/16/69,Scindidae
B,15663,-27,Trachylepis sparsa,36.6,14:00,12/28/69,Scindidae
B,15713,-27,Trachylepis sparsa,38.4,16:31,12/28/69,Scindidae
B,15714,-27,Trachylepis sparsa,36.9,16:39,12/28/69,Scindidae
NA,15934,-27.67,Trachylepis sparsa,35.5,17:15,01/05/70,Scindidae
NA,15953,-27.67,Trachylepis sparsa,35.6,17:20,01/05/70,Scindidae
NA,16331,-28.4,Trachylepis sparsa,34.9,9:00,01/25/70,Scindidae
NA,16332,-28.4,Trachylepis sparsa,35,9:15,01/26/70,Scindidae
G,16352,-27.77,Trachylepis sparsa,32.6,8:50,01/26/70,Scindidae
G,16355,-27.77,Trachylepis sparsa,36,9:15,01/26/70,Scindidae
B,16587,-27,Trachylepis sparsa,36.4,9:30,02/01/70,Scindidae
B,16590,-27,Trachylepis sparsa,37.3,10:10,02/01/70,Scindidae
B,16620,-27,Trachylepis sparsa,36.2,8:39,02/01/70,Scindidae
L,16780,-26.38,Trachylepis sparsa,26,11:44,02/04/70,Scindidae
K,16884,-25.75,Trachylepis sparsa,35.9,16:25,02/05/70,Scindidae
K,16910,-25.75,Trachylepis sparsa,35.2,9:36,02/06/70,Scindidae
K,16913,-25.75,Trachylepis sparsa,34.7,17:06,02/05/70,Scindidae
K,16964,-25.75,Trachylepis sparsa,36.1,9:09,02/06/70,Scindidae
K,16965,-25.75,Trachylepis sparsa,36.5,9:13,02/06/70,Scindidae
K,16967,-25.75,Trachylepis sparsa,34.4,9:22,02/06/70,Scindidae
B,17027,-27,Trachylepis sparsa,34.7,9:04,02/08/70,Scindidae
B,17037,-27,Trachylepis sparsa,32.1,11:01,02/08/70,Scindidae
B,17041,-27,Trachylepis sparsa,34.6,11:45,02/08/70,Scindidae
B,17045,-27,Trachylepis sparsa,37.5,18:28,02/08/70,Scindidae
B,17055,-27,Trachylepis sparsa,34.6,10:05,02/08/70,Scindidae
B,17057,-27,Trachylepis sparsa,34.2,10:20,02/08/70,Scindidae
B,17063,-27,Trachylepis sparsa,33.2,11:45,02/08/70,Scindidae
B,17069,-27,Trachylepis sparsa,34.3,18:42,02/08/70,Scindidae
B,17070,-27,Trachylepis sparsa,35.8,19:02,02/08/70,Scindidae
B,17088,-27,Trachylepis sparsa,36.1,10:29,02/08/70,Scindidae
B,17090,-27,Trachylepis sparsa,35.4,10:38,02/08/70,Scindidae
B,17093,-27,Trachylepis sparsa,36.8,11:00,02/08/70,Scindidae
B,17095,-27,Trachylepis sparsa,36.4,11:30,02/08/70,Scindidae
B,17096,-27,Trachylepis sparsa,34,11:39,02/08/70,Scindidae
B,17098,-27,Trachylepis sparsa,35.2,18:10,02/08/70,Scindidae
B,17099,-27,Trachylepis sparsa,36.3,18:28,02/08/70,Scindidae
B,17104,-27,Trachylepis sparsa,34.9,19:03,02/08/70,Scindidae
B,17106,-27,Trachylepis sparsa,33.7,19:20,02/08/70,Scindidae
B,17122,-27,Trachylepis sparsa,34.5,8:53,02/09/70,Scindidae
B,17125,-27,Trachylepis sparsa,34,9:08,02/09/70,Scindidae
B,17171,-27,Trachylepis sparsa,33.1,9:00,02/09/70,Scindidae
B,17177,-27,Trachylepis sparsa,33.7,10:08,02/09/70,Scindidae
M,17206,-26.37,Trachylepis sparsa,33.4,9:20,02/11/70,Scindidae
M,17218,-26.37,Trachylepis sparsa,35.4,18:12,02/10/70,Scindidae
M,17241,-26.37,Trachylepis sparsa,33.7,9:13,02/11/70,Scindidae
M,17245,-26.37,Trachylepis sparsa,35.2,9:46,02/11/70,Scindidae
M,17248,-26.37,Trachylepis sparsa,35.3,10:02,02/11/70,Scindidae
M,17249,-26.37,Trachylepis sparsa,36.2,10:31,02/11/70,Scindidae
M,17281,-26.37,Trachylepis sparsa,36.2,9:45,02/11/70,Scindidae
M,17283,-26.37,Trachylepis sparsa,34.2,10:05,02/11/70,Scindidae
X,17367,-27.37,Trachylepis sparsa,32.5,9:15,02/19/70,Scindidae
G,17885,-28.22,Trachylepis sparsa,34.8,9:00,02/27/70,Scindidae
G,17913,-28.22,Trachylepis sparsa,38.5,9:45,02/27/70,Scindidae
L,18072,-26.38,Trachylepis sparsa,31.7,9:54,03/11/70,Scindidae
L,18224,-26.38,Trachylepis sparsa,34.5,9:46,03/11/70,Scindidae
L,18243,-26.38,Trachylepis sparsa,36.7,10:30,03/11/70,Scindidae
L,18244,-26.38,Trachylepis sparsa,30,10:34,03/11/70,Scindidae
L,18247,-26.38,Trachylepis sparsa,35.4,10:47,03/11/70,Scindidae
L,18248,-26.38,Trachylepis sparsa,32.9,10:50,03/11/70,Scindidae
